City;ID;ICAO Code;IATA Code;Type;Airport Name;Latitude (Degrees);Longitude (Degrees);Continent;Local_code
Syracuse;11474;4IN9;--;small_airport;Wawasee Airport;41.41889954;-85.6917038;NA;4IN9
Syracuse;13443;6NK;--;small_airport;Syracuse Suburban Airport;43.26499939;-76.17810059;NA;6NK
Syracuse;18711;K3K3;--;small_airport;Syracuse Hamilton County Municipal Airport;37.99169922;-101.7460022;NA;3K3
Syracuse;3913;KSYR;SYR;large_airport;Syracuse Hancock International Airport;43.11119843;-76.10630035;NA;SYR
Syracuse;25283;UT40;--;small_airport;Payne Field;41.09830093;-112.1159973;NA;UT40
Syrdarya;41734;UZ-0047;--;small_airport;Syrdaya Airport;40.8091011;68.68769836;AS;--
Syrdarya;41820;UZ-0131;--;small_airport;Syrdar Northwest Airport;40.94079971;68.62210083;AS;--
Syrdaya;41735;UZ-0048;--;small_airport;Syrdaya Highway Southwest Airstrip;40.77249908;68.56359863;AS;--
Syros Island;4284;LGSO;JSY;small_airport;Syros Airport;37.42279816;24.95089912;EU;--
Syugati;41909;KZ-0057;--;small_airport;Syugaty Airport;43.17229843;74.62200165;AS;--
Syzran;44318;RU-0095;--;small_airport;Troekurovka Air Base;53.22399902;48.54999924;EU;--
Szarvas;43981;HU-0001;--;small_airport;Kákahalom Airfield;46.803936;20.527838;EU;--
Szatymaz;43988;HU-0006;--;small_airport;Szatymaz Airport;46.32265091;20.0532093;EU;--
Szczecin;2631;EPSD;--;small_airport;Szczecin-Dąbie Airport;53.39210129;14.63379955;EU;--
Szczecin;43139;PL-0021;--;small_airport;Kliniska  (Szczecin) Highway Strip;53.42670059;14.80420017;EU;--
Szeged;30454;LHUD;--;small_airport;Szeged Airfield;46.246895;20.090799;EU;--
Székesfehérvár;43989;HU-0007;--;small_airport;Börgönd Airfield;47.12795;18.50014;EU;--
Szentes;30455;LHSZ;--;small_airport;Szentes Aerodrome;46.61330032;20.28280067;EU;--
Szentkirályszabadja;4304;LHSA;--;small_airport;Szentkirályszabadja Airport;47.07789993;17.96839905;EU;--
Szklarka Przygodzicka;323513;PL-0102;--;small_airport;Szklarka Przygodzicka;51.488091;17.795207;EU;--
Szolnok;4306;LHSN;--;medium_airport;Szolnok Air Base;47.122897;20.2355;EU;--
Szolnok-Szandaszőlős;30457;LHSS;--;small_airport;Szolnok-Szandaszőlős Sport Airport;47.14440155;20.19779968;EU;--
Szombathely;30456;LHSY;--;small_airport;Szombathely Airfield;47.279999;16.6264;EU;--
Szorce;324517;PL-0136;--;small_airport;Szorce Airstrip;53.285388;22.674194;EU;--
